"Date","Price","Open","High","Low","Vol.","Change %"
"08/01/1997","327.40","328.90","333.40","321.00","614.84K","-0.37%"
"09/01/1997","336.90","327.00","337.90","321.00","701.88K","2.90%"
"10/01/1997","312.10","336.60","342.10","308.00","847.16K","-7.36%"
"11/01/1997","296.90","312.10","316.90","295.10","534.30K","-4.87%"
"12/01/1997","289.90","298.50","299.10","283.30","509.44K","-2.36%"
"01/01/1998","304.60","289.40","309.00","277.50","793.75K","5.07%"
"02/01/1998","300.10","304.60","310.00","291.80","487.86K","-1.48%"
"03/01/1998","303.30","300.00","306.80","287.30","609.14K","1.07%"
"04/01/1998","307.90","303.30","317.00","301.20","669.23K","1.52%"
"05/01/1998","295.10","308.00","308.50","290.60","630.04K","-4.16%"
"06/01/1998","298.10","295.40","301.60","285.60","655.72K","1.02%"
"07/01/1998","290.50","297.80","299.70","289.10","538.02K","-2.55%"
"08/01/1998","278.90","291.00","294.80","273.80","614.54K","-3.99%"
"09/01/1998","299.00","279.30","302.20","279.30","803.93K","7.21%"
"10/01/1998","293.70","299.10","306.90","292.00","667.95K","-1.77%"
"11/01/1998","295.10","294.00","299.10","288.70","485.99K","0.48%"
"12/01/1998","289.20","295.00","299.50","286.50","474.88K","-2.00%"
"01/01/1999","288.20","289.60","294.30","282.50","610.54K","-0.35%"
"02/01/1999","288.30","288.50","292.60","285.00","463.83K","0.03%"
"03/01/1999","281.90","288.00","296.50","278.50","808.88K","-2.22%"
"04/01/1999","287.80","281.90","289.00","279.10","522.57K","2.09%"
"05/01/1999","272.00","287.90","291.20","267.90","755.60K","-5.49%"
"06/01/1999","263.60","271.50","272.00","258.50","529.11K","-3.09%"
"07/01/1999","258.80","263.50","264.70","253.20","651.84K","-1.82%"
"08/01/1999","257.30","258.80","264.70","253.80","628.99K","-0.58%"
"09/01/1999","299.50","257.50","329.00","254.80","987.93K","16.40%"
"10/01/1999","300.30","299.10","339.00","287.60","807.28K","0.27%"
"11/01/1999","293.00","299.70","300.40","288.00","372.59K","-2.43%"
"12/01/1999","289.60","293.00","294.00","276.20","412.23K","-1.16%"
"01/01/2000","286.20","289.50","291.80","280.00","414.02K","-1.17%"
"02/01/2000","294.20","286.00","326.90","285.00","742.60K","2.80%"
"03/01/2000","281.40","294.20","296.20","274.80","550.89K","-4.35%"
"04/01/2000","274.70","281.50","291.50","274.00","332.99K","-2.38%"
"05/01/2000","274.80","274.80","284.00","269.50","475.19K","0.04%"
"06/01/2000","291.50","275.40","296.50","274.80","591.35K","6.08%"
"07/01/2000","283.20","289.70","289.70","277.70","369.66K","-2.85%"
"08/01/2000","282.10","283.40","285.00","275.30","343.57K","-0.39%"
"09/01/2000","276.90","281.90","282.50","271.70","387.21K","-1.84%"
"10/01/2000","266.40","277.30","279.90","263.50","409.41K","-3.79%"
"11/01/2000","273.30","266.50","273.50","264.50","689.58K","2.59%"
"12/01/2000","273.60","273.20","278.50","270.30","343.61K","0.11%"
"01/01/2001","268.00","273.80","275.00","262.00","488.25K","-2.05%"
"02/01/2001","267.80","267.80","270.90","255.10","400.27K","-0.07%"
"03/01/2001","259.20","267.70","274.70","258.00","549.34K","-3.21%"
"04/01/2001","264.40","259.10","267.50","255.80","334.98K","2.01%"
"05/01/2001","266.90","264.30","298.60","264.10","688.58K","0.95%"
"06/01/2001","271.30","266.80","279.80","265.50","437.15K","1.65%"
"07/01/2001","269.20","271.50","272.10","264.80","433.88K","-0.77%"
"08/01/2001","276.50","269.20","283.80","268.40","509.51K","2.71%"
"09/01/2001","294.00","276.10","300.00","272.70","289.49K","6.33%"
"10/01/2001","280.50","293.70","295.90","275.50","447.68K","-4.59%"
"11/01/2001","274.90","280.50","282.50","271.90","396.69K","-2.00%"
"12/01/2001","279.00","275.20","281.40","271.70","321.84K","1.49%"
"01/01/2002","282.90","279.50","289.90","277.20","537.17K","1.40%"
"02/01/2002","297.10","283.00","309.40","282.40","562.30K","5.02%"
"03/01/2002","303.70","297.40","305.80","288.30","459.26K","2.22%"
"04/01/2002","309.20","304.00","312.90","298.00","534.75K","1.81%"
"05/01/2002","327.50","309.10","330.20","306.50","777.47K","5.92%"
"06/01/2002","313.90","327.50","331.50","310.50","637.19K","-4.15%"
"07/01/2002","305.20","314.50","326.10","300.50","707.86K","-2.77%"
"08/01/2002","313.90","305.20","319.70","300.30","528.50K","2.85%"
"09/01/2002","325.20","313.80","329.30","312.60","585.81K","3.60%"
"10/01/2002","318.40","324.30","325.50","309.10","645.19K","-2.09%"
"11/01/2002","316.80","318.30","325.40","316.50","558.88K","-0.50%"
"12/01/2002","348.20","319.10","355.70","316.60","704.46K","9.91%"
"01/01/2003","369.10","347.60","373.70","342.80","845.17K","6.00%"
"02/01/2003","350.30","368.90","390.80","342.40","844.34K","-5.09%"
"03/01/2003","336.90","349.80","358.80","325.80","757.50K","-3.83%"
"04/01/2003","339.40","335.70","340.40","319.80","615.89K","0.74%"
"05/01/2003","365.60","339.20","374.90","338.50","849.28K","7.72%"
"06/01/2003","346.30","364.00","370.50","343.30","758.31K","-5.28%"
"07/01/2003","355.80","346.40","367.70","340.60","832.40K","2.74%"
"08/01/2003","376.80","356.00","379.00","346.00","741.88K","5.90%"
"09/01/2003","386.10","376.80","394.80","370.70","911.76K","2.47%"
"10/01/2003","384.60","385.90","393.00","366.50","1.01M","-0.39%"
"11/01/2003","396.80","384.70","402.00","376.50","996.72K","3.17%"
"12/01/2003","416.10","398.90","418.40","397.80","710.09K","4.86%"
"01/01/2004","402.90","416.80","431.50","397.50","1.20M","-3.17%"
"02/01/2004","396.80","403.10","418.00","391.00","857.40K","-1.51%"
"03/01/2004","428.30","397.50","428.50","388.20","1.22M","7.94%"
"04/01/2004","387.50","427.50","433.00","377.00","1.12M","-9.53%"
"05/01/2004","394.90","388.90","398.00","371.30","986.07K","1.91%"
"06/01/2004","393.00","396.00","405.60","382.50","865.19K","-0.48%"
"07/01/2004","393.70","393.30","409.60","385.50","1.09M","0.18%"
"08/01/2004","412.40","395.00","416.80","391.20","878.66K","4.75%"
"09/01/2004","420.40","412.10","420.80","396.90","881.01K","1.94%"
"10/01/2004","429.40","420.40","432.00","410.50","1.01M","2.14%"
"11/01/2004","453.20","430.50","457.00","418.00","1.37M","5.54%"
"12/01/2004","438.40","453.40","458.70","432.90","981.97K","-3.27%"
"01/01/2005","424.10","438.90","438.90","417.20","1.15M","-3.26%"
"02/01/2005","437.60","424.30","439.30","411.50","825.16K","3.18%"
"03/01/2005","431.10","437.50","448.00","423.40","1.18M","-1.49%"
"04/01/2005","436.10","431.10","439.10","423.50","818.81K","1.16%"
"05/01/2005","418.90","435.70","436.00","415.80","1.09M","-3.94%"
"06/01/2005","437.10","418.70","445.40","416.70","1.17M","4.34%"
"07/01/2005","435.80","436.50","438.20","418.20","1.08M","-0.30%"
"08/01/2005","438.10","435.40","455.30","433.50","1.16M","0.53%"
"09/01/2005","472.30","438.40","479.00","438.30","1.29M","7.81%"
"10/01/2005","466.90","471.50","483.10","462.00","1.10M","-1.14%"
"11/01/2005","498.70","466.50","506.70","456.10","1.36M","6.81%"
"12/01/2005","519.70","498.00","544.50","492.20","1.06M","4.21%"
"01/01/2006","575.50","519.90","577.30","517.60","1.51M","10.74%"
"02/01/2006","563.90","575.10","579.50","537.80","1.08M","-2.02%"
"03/01/2006","586.70","563.10","594.60","534.50","1.56M","4.04%"
"04/01/2006","654.50","587.80","658.20","586.30","1.16M","11.56%"
"05/01/2006","649.00","656.80","732.00","636.50","1.65M","-0.84%"
"06/01/2006","616.00","649.80","651.30","546.40","1.05M","-5.08%"
"07/01/2006","646.80","627.00","677.50","602.50","998.44K","5.00%"
"08/01/2006","634.20","646.50","668.20","615.50","740.73K","-1.95%"
"09/01/2006","604.20","633.60","648.70","576.50","791.58K","-4.73%"
"10/01/2006","606.80","606.20","613.20","563.00","739.09K","0.43%"
"11/01/2006","652.90","607.50","654.50","607.50","921.26K","7.60%"
"12/01/2006","638.00","655.00","655.80","615.00","758.89K","-2.28%"
"01/01/2007","657.90","639.20","660.70","603.00","1.48M","3.12%"
"02/01/2007","672.50","658.50","692.50","648.00","1.41M","2.22%"
"03/01/2007","669.00","672.80","680.20","634.50","1.62M","-0.52%"
"04/01/2007","683.50","671.10","698.00","661.70","1.30M","2.17%"
"05/01/2007","666.70","681.20","693.30","651.50","1.75M","-2.46%"
"06/01/2007","650.90","666.50","679.50","641.10","1.40M","-2.37%"
"07/01/2007","679.30","651.60","688.40","646.70","1.74M","4.36%"
"08/01/2007","681.90","675.30","688.10","651.60","1.52M","0.38%"
"09/01/2007","750.00","681.90","752.80","680.10","1.88M","9.99%"
"10/01/2007","795.30","750.60","800.80","726.30","2.34M","6.04%"
"11/01/2007","789.10","799.40","848.00","773.40","3.11M","-0.78%"
"12/01/2007","838.00","789.40","847.40","783.00","1.53M","6.20%"
"01/01/2008","928.00","837.50","942.20","837.50","3.12M","10.74%"
"02/01/2008","975.00","929.80","978.50","888.40","2.41M","5.06%"
"03/01/2008","921.50","975.60","1,033.90","904.70","3.19M","-5.49%"
"04/01/2008","865.10","920.50","956.20","864.10","2.56M","-6.12%"
"05/01/2008","891.50","879.00","935.40","846.40","2.77M","3.05%"
"06/01/2008","928.30","891.30","937.70","859.60","2.47M","4.13%"
"07/01/2008","922.70","928.00","989.60","902.70","3.53M","-0.60%"
"08/01/2008","835.20","922.90","926.00","777.70","2.77M","-9.48%"
"09/01/2008","880.80","842.20","932.00","739.80","3.80M","5.46%"
"10/01/2008","718.20","876.90","936.30","681.00","2.85M","-18.46%"
"11/01/2008","819.00","727.00","833.50","698.20","2.25M","14.04%"
"12/01/2008","884.30","819.00","892.00","741.20","1.77M","7.97%"
"01/01/2009","928.40","883.00","931.30","801.50","2.42M","4.99%"
"02/01/2009","942.50","924.60","1,007.70","890.30","2.25M","1.52%"
"03/01/2009","925.00","940.30","967.80","882.70","2.64M","-1.86%"
"04/01/2009","891.20","920.00","935.80","865.00","1.65M","-3.65%"
"05/01/2009","980.30","888.90","982.00","880.50","2.05M","10.00%"
"06/01/2009","927.40","981.00","992.10","913.20","2.09M","-5.40%"
"07/01/2009","955.80","926.10","960.00","904.80","2.11M","3.06%"
"08/01/2009","953.50","954.50","974.30","931.30","1.62M","-0.24%"
"09/01/2009","1,009.30","952.00","1,025.80","947.50","2.60M","5.85%"
