"Date","Price","Open","High","Low","Vol.","Change %"
"04/01/1993","339.94","359.42","360.75","326.56","","-5.42%"
"05/01/1993","368.11","339.94","376.53","339.94","","8.29%"
"06/01/1993","366.12","368.11","374.92","352.75","","-0.54%"
"07/01/1993","352.87","366.12","366.51","346.51","","-3.62%"
"08/01/1993","372.65","352.87","379.64","352.87","","5.61%"
"09/01/1993","382.71","372.65","388.33","358.02","","2.70%"
"10/01/1993","390.99","382.71","396.20","375.63","","2.16%"
"11/01/1993","386.76","390.99","396.88","371.82","","-1.08%"
"12/01/1993","398.28","386.76","401.81","381.84","","2.98%"
"01/01/1994","413.99","395.67","415.42","392.05","","3.94%"
"02/01/1994","412.17","413.99","413.99","392.33","","-0.44%"
"03/01/1994","382.96","412.17","418.99","372.32","","-7.09%"
"04/01/1994","373.25","382.96","391.94","352.12","","-2.54%"
"05/01/1994","378.85","373.25","381.31","353.43","","1.50%"
"06/01/1994","360.30","378.85","385.16","350.03","","-4.90%"
"07/01/1994","370.16","360.30","373.43","352.74","","2.74%"
"08/01/1994","397.90","370.16","402.87","363.81","","7.49%"
"09/01/1994","393.85","397.90","407.10","386.11","","-1.02%"
"10/01/1994","413.05","393.85","416.09","376.80","","4.87%"
"11/01/1994","404.82","413.05","417.55","390.89","","-1.99%"
"12/01/1994","404.27","404.82","406.53","379.96","","-0.14%"
"01/01/1995","405.33","404.27","419.98","394.59","","0.26%"
"02/01/1995","432.50","405.33","435.20","405.33","","6.70%"
"03/01/1995","447.15","432.50","462.99","429.05","","3.39%"
"04/01/1995","469.56","447.15","470.49","438.38","","5.01%"
"05/01/1995","488.10","469.56","509.24","463.38","","3.95%"
"06/01/1995","538.03","488.10","546.57","486.07","","10.23%"
"07/01/1995","568.88","538.03","600.01","530.40","","5.73%"
"08/01/1995","576.77","568.88","601.65","541.64","","1.39%"
"09/01/1995","585.08","576.77","613.78","557.26","","1.44%"
"10/01/1995","598.78","585.08","613.00","527.89","","2.34%"
"11/01/1995","593.72","598.78","623.53","562.50","","-0.85%"
"12/01/1995","576.23","593.72","604.13","540.97","","-2.95%"
"01/01/1996","591.82","576.23","591.84","526.80","","2.71%"
"02/01/1996","622.83","591.82","647.34","589.01","","5.24%"
"03/01/1996","609.69","622.83","637.92","585.33","","-2.11%"
"04/01/1996","666.73","609.69","669.74","597.42","","9.36%"
"05/01/1996","692.39","666.73","700.65","646.02","","3.85%"
"06/01/1996","677.30","692.39","704.09","648.93","","-2.18%"
"07/01/1996","636.01","677.40","687.95","572.79","","-6.10%"
"08/01/1996","663.57","636.01","685.15","635.36","","4.33%"
"09/01/1996","737.58","663.57","757.83","650.48","","11.15%"
"10/01/1996","751.99","737.58","786.75","727.14","","1.95%"
"11/01/1996","834.01","751.99","836.15","748.97","","10.91%"
"12/01/1996","821.36","834.01","873.00","798.13","","-1.52%"
"01/01/1997","921.55","821.36","938.11","806.17","","12.20%"
"02/01/1997","850.46","921.55","928.31","835.87","","-7.71%"
"03/01/1997","797.06","850.46","874.28","784.54","","-6.28%"
"04/01/1997","874.74","797.06","877.95","779.17","","9.75%"
"05/01/1997","958.85","874.74","988.40","872.59","","9.62%"
"06/01/1997","957.30","958.85","993.16","917.34","","-0.16%"
"07/01/1997","1,107.03","957.30","1,110.27","947.78","","15.64%"
"08/01/1997","1,074.17","1,107.03","1,151.82","1,060.88","","-2.97%"
"09/01/1997","1,097.17","1,074.17","1,139.70","1,074.17","","2.14%"
"10/01/1997","1,019.62","1,097.17","1,153.89","925.92","","-7.07%"
"11/01/1997","1,050.51","1,019.62","1,073.97","971.61","","3.03%"
"12/01/1997","990.80","1,050.51","1,085.35","937.22","","-5.68%"
"01/01/1998","1,071.13","990.80","1,082.08","933.01","","8.11%"
"02/01/1998","1,194.13","1,071.13","1,213.09","1,071.13","","11.48%"
"03/01/1998","1,220.66","1,194.13","1,230.92","1,123.86","","2.22%"
"04/01/1998","1,248.12","1,220.66","1,310.10","1,172.87","","2.25%"
"05/01/1998","1,192.07","1,248.12","1,280.28","1,180.23","","-4.49%"
"06/01/1998","1,337.34","1,192.07","1,347.44","1,157.88","","12.19%"
"07/01/1998","1,377.26","1,337.34","1,485.97","1,326.07","","2.99%"
"08/01/1998","1,140.34","1,377.26","1,421.40","1,140.03","","-17.20%"
"09/01/1998","1,345.48","1,140.34","1,413.16","1,118.12","","17.99%"
"10/01/1998","1,400.52","1,345.48","1,414.60","1,063.27","","4.09%"
"11/01/1998","1,557.96","1,400.52","1,634.40","1,395.43","","11.24%"
"12/01/1998","1,836.01","1,557.96","1,848.36","1,535.18","","17.85%"
"01/01/1999","2,127.19","1,836.01","2,128.19","1,833.43","","15.86%"
"02/01/1999","1,925.28","2,127.19","2,150.83","1,864.90","","-9.49%"
"03/01/1999","2,106.39","1,925.97","2,168.69","1,870.37","","9.41%"
"04/01/1999","2,136.39","2,106.39","2,283.55","1,952.36","","1.42%"
"05/01/1999","2,089.70","2,136.39","2,239.86","1,960.55","","-2.19%"
"06/01/1999","2,296.77","2,089.70","2,320.43","1,987.40","","9.91%"
"07/01/1999","2,270.93","2,296.77","2,468.42","2,233.15","","-1.13%"
"08/01/1999","2,396.87","2,270.93","2,467.46","2,120.26","","5.55%"
"09/01/1999","2,407.90","2,396.87","2,551.66","2,345.22","","0.46%"
"10/01/1999","2,637.44","2,407.70","2,651.12","2,299.95","","9.53%"
"11/01/1999","2,966.71","2,637.04","3,151.77","2,612.39","","12.48%"
"12/01/1999","3,707.83","2,970.04","3,750.41","2,956.79","","24.98%"
"01/01/2000","3,570.05","3,755.74","3,905.10","3,314.75","","-3.72%"
"02/01/2000","4,266.94","3,580.29","4,297.46","3,544.93","","19.52%"
"03/01/2000","4,397.84","4,275.72","4,816.35","4,049.98","","3.07%"
"04/01/2000","3,773.18","4,355.70","4,355.70","3,107.42","","-14.20%"
"05/01/2000","3,324.08","3,789.20","3,871.93","2,897.27","","-11.90%"
"06/01/2000","3,763.79","3,331.80","3,990.21","3,331.80","","13.23%"
"07/01/2000","3,609.35","3,763.79","4,089.04","3,437.59","","-4.10%"
"08/01/2000","4,077.59","3,609.35","4,080.48","3,341.83","","12.97%"
"09/01/2000","3,570.61","4,084.11","4,147.19","3,505.18","","-12.43%"
"10/01/2000","3,282.30","3,613.74","3,613.86","2,956.20","","-8.07%"
"11/01/2000","2,506.54","3,214.40","3,369.47","2,426.41","","-23.63%"
"12/01/2000","2,341.70","2,566.68","2,990.83","2,174.76","","-6.58%"
"01/01/2001","2,593.00","2,341.28","2,771.63","2,087.32","","10.73%"
"02/01/2001","1,908.32","2,586.24","2,627.39","1,880.47","","-26.40%"
"03/01/2001","1,573.25","1,879.84","2,029.01","1,530.14","","-17.56%"
"04/01/2001","1,855.15","1,569.66","1,981.90","1,348.52","","17.92%"
"05/01/2001","1,799.89","1,854.67","2,070.61","1,768.62","","-2.98%"
"06/01/2001","1,830.19","1,826.02","1,963.83","1,655.26","","1.68%"
"07/01/2001","1,683.61","1,831.42","1,864.20","1,580.57","","-8.01%"
"08/01/2001","1,469.70","1,713.67","1,766.58","1,438.91","","-12.71%"
"09/01/2001","1,168.37","1,466.32","1,502.67","1,088.96","","-20.50%"
"10/01/2001","1,364.78","1,161.74","1,487.40","1,131.32","","16.81%"
"11/01/2001","1,596.05","1,381.70","1,644.38","1,358.72","","16.95%"
"12/01/2001","1,577.05","1,576.26","1,734.58","1,557.18","","-1.19%"
"01/01/2002","1,550.17","1,590.71","1,710.23","1,481.46","","-1.70%"
"02/01/2002","1,359.22","1,544.42","1,561.24","1,329.93","","-12.32%"
"03/01/2002","1,452.81","1,373.15","1,573.42","1,370.32","","6.89%"
"04/01/2002","1,277.07","1,440.38","1,481.74","1,228.94","","-12.10%"
"05/01/2002","1,208.34","1,273.63","1,350.54","1,142.25","","-5.38%"
"06/01/2002","1,051.41","1,205.20","1,213.18","979.87","","-12.99%"
"07/01/2002","962.11","1,044.48","1,066.28","869.17","","-8.49%"
"08/01/2002","942.38","954.56","1,052.49","856.35","","-2.05%"
"09/01/2002","832.52","928.50","978.46","825.80","","-11.66%"
"10/01/2002","989.54","841.29","1,007.72","795.25","","18.86%"
"11/01/2002","1,116.10","981.24","1,134.60","972.34","","12.79%"
"12/01/2002","984.36","1,144.21","1,155.68","977.59","","-11.80%"
"01/01/2003","983.05","995.64","1,104.32","968.34","","-0.13%"
"02/01/2003","1,009.74","987.37","1,019.25","938.52","","2.72%"
"03/01/2003","1,018.66","1,015.87","1,099.61","946.79","","0.88%"
"04/01/2003","1,106.06","1,025.02","1,126.58","1,015.46","","8.58%"
"05/01/2003","1,197.89","1,104.38","1,201.25","1,094.42","","8.30%"
"06/01/2003","1,201.69","1,210.77","1,265.69","1,180.01","","0.32%"
"07/01/2003","1,276.94","1,195.30","1,316.42","1,180.11","","6.26%"
"08/01/2003","1,341.20","1,274.61","1,344.74","1,204.29","","5.03%"
"09/01/2003","1,303.70","1,347.64","1,406.61","1,302.26","","-2.80%"
"10/01/2003","1,416.39","1,312.43","1,439.97","1,306.33","","8.64%"
"11/01/2003","1,424.25","1,423.13","1,453.46","1,357.25","","0.55%"
"12/01/2003","1,467.92","1,434.10","1,474.24","1,372.87","","3.07%"
"01/01/2004","1,493.08","1,474.16","1,559.47","1,458.51","","1.71%"
"02/01/2004","1,470.38","1,497.78","1,524.09","1,452.49","","-1.52%"
"03/01/2004","1,438.41","1,476.04","1,494.67","1,368.08","","-2.17%"
"04/01/2004","1,401.36","1,438.91","1,508.37","1,401.36","","-2.58%"
"05/01/2004","1,466.22","1,409.06","1,469.23","1,372.46","","4.63%"
"06/01/2004","1,516.64","1,457.71","1,523.48","1,445.21","","3.44%"
"07/01/2004","1,400.39","1,514.82","1,514.82","1,359.20","","-7.66%"
"08/01/2004","1,368.68","1,390.21","1,408.31","1,301.93","","-2.26%"
"09/01/2004","1,412.74","1,363.27","1,440.81","1,360.58","","3.22%"
"10/01/2004","1,486.72","1,426.38","1,496.98","1,416.29","","5.24%"
"11/01/2004","1,571.50","1,486.25","1,593.16","1,479.86","","5.70%"
"12/01/2004","1,621.12","1,578.25","1,635.70","1,577.77","","3.16%"
"01/01/2005","1,519.63","1,628.75","1,635.45","1,480.66","","-6.26%"
"02/01/2005","1,511.02","1,521.00","1,561.17","1,489.99","","-0.57%"
"03/01/2005","1,482.53","1,516.63","1,552.53","1,458.26","","-1.89%"
"04/01/2005","1,420.79","1,491.83","1,503.21","1,394.36","","-4.16%"
"05/01/2005","1,542.63","1,421.90","1,551.12","1,415.60","","8.58%"
"06/01/2005","1,493.52","1,541.73","1,568.96","1,490.02","","-3.18%"
"07/01/2005","1,605.14","1,497.02","1,619.95","1,484.18","","7.47%"
"08/01/2005","1,581.71","1,609.74","1,628.57","1,551.31","","-1.46%"
"09/01/2005","1,601.66","1,581.23","1,619.12","1,551.81","","1.26%"
"10/01/2005","1,579.18","1,603.47","1,617.77","1,515.42","","-1.40%"
"11/01/2005","1,672.56","1,572.97","1,704.42","1,570.75","","5.91%"
"12/01/2005","1,645.20","1,683.39","1,716.65","1,641.86","","-1.64%"
"01/01/2006","1,710.75","1,654.39","1,761.46","1,633.62","","3.98%"
"02/01/2006","1,670.57","1,697.12","1,714.28","1,637.26","","-2.35%"
"03/01/2006","1,703.66","1,675.92","1,720.20","1,634.25","","1.98%"
"04/01/2006","1,700.71","1,715.12","1,750.23","1,684.35","","-0.17%"
"05/01/2006","1,579.58","1,706.80","1,721.13","1,554.76","","-7.12%"
"06/01/2006","1,575.23","1,581.08","1,626.29","1,511.53","9.52B","-0.28%"
"07/01/2006","1,509.43","1,580.63","1,586.44","1,446.77","16.94B","-4.18%"
"08/01/2006","1,579.73","1,498.17","1,586.60","1,476.06","16.95B","4.66%"
"09/01/2006","1,654.13","1,589.21","1,666.03","1,558.17","17.24B","4.71%"
"10/01/2006","1,732.54","1,650.32","1,745.79","1,623.07","18.52B","4.74%"
"11/01/2006","1,791.25","1,738.55","1,824.21","1,693.19","16.53B","3.39%"
"12/01/2006","1,756.90","1,790.63","1,821.18","1,746.07","14.25B","-1.92%"
"01/01/2007","1,792.28","1,769.22","1,847.54","1,731.71","21.01B","2.01%"
"02/01/2007","1,761.65","1,801.60","1,851.47","1,746.29","17.13B","-1.71%"
"03/01/2007","1,772.36","1,729.03","1,807.43","1,710.97","16.49B","0.61%"
"04/01/2007","1,867.75","1,775.92","1,896.77","1,761.65","7.99B","5.38%"
"05/01/2007","1,928.19","1,872.34","1,931.10","1,857.33","8.83B","3.24%"
"06/01/2007","1,934.10","1,934.74","1,948.58","1,876.52","8.69B","0.31%"
"07/01/2007","1,932.06","1,943.28","2,060.29","1,931.99","9.04B","-0.11%"
"08/01/2007","1,988.73","1,929.09","1,995.00","1,805.66","10.54B","2.93%"
"09/01/2007","2,091.11","1,989.28","2,101.96","1,943.27","7.64B","5.15%"
"10/01/2007","2,238.98","2,092.60","2,239.23","2,088.79","9.95B","7.07%"
"11/01/2007","2,089.10","2,223.52","2,226.88","1,980.18","10.05B","-6.69%"
"12/01/2007","2,084.93","2,080.10","2,147.68","1,999.59","6.82B","-0.20%"
"01/01/2008","1,841.42","2,085.53","2,094.22","1,693.06","12.25B","-11.68%"
"02/01/2008","1,745.27","1,846.07","1,864.97","1,714.86","9.87B","-5.22%"
"03/01/2008","1,781.93","1,743.92","1,831.98","1,668.57","9.19B","2.10%"
"04/01/2008","1,917.70","1,806.15","1,953.59","1,776.60","7.82B","7.62%"
"05/01/2008","2,032.57","1,921.87","2,050.79","1,921.05","7.65B","5.99%"
"06/01/2008","1,837.09","2,026.58","2,055.82","1,829.30","8.47B","-9.62%"
"07/01/2008","1,849.15","1,821.93","1,874.83","1,761.08","9.50B","0.66%"
"08/01/2008","1,872.54","1,847.47","1,973.56","1,802.09","6.70B","1.26%"
"09/01/2008","1,594.63","1,904.21","1,912.72","1,496.15","9.81B","-14.84%"
"10/01/2008","1,334.78","1,581.06","1,584.26","1,149.12","14.22B","-16.30%"
"11/01/2008","1,185.75","1,333.19","1,382.65","1,018.86","8.62B","-11.17%"
"12/01/2008","1,211.65","1,156.53","1,251.56","1,091.04","7.87B","2.18%"
"01/01/2009","1,180.25","1,212.74","1,286.08","1,136.61","7.40B","-2.59%"
"02/01/2009","1,116.99","1,168.13","1,286.90","1,112.12","7.67B","-5.36%"
"03/01/2009","1,237.01","1,098.99","1,281.30","1,040.41","8.60B","10.74%"
"04/01/2009","1,394.33","1,215.90","1,418.77","1,211.60","7.43B","12.72%"
"05/01/2009","1,435.57","1,396.22","1,435.80","1,339.82","6.11B","2.96%"
"06/01/2009","1,477.25","1,451.37","1,511.94","1,413.54","6.30B","2.90%"
"07/01/2009","1,603.36","1,486.50","1,632.97","1,394.87","6.38B","8.54%"
"08/01/2009","1,625.19","1,619.24","1,668.01","1,563.14","5.03B","1.36%"
"09/01/2009","1,718.99","1,620.09","1,754.54","1,585.56","5.33B","5.77%"
"10/01/2009","1,667.13","1,710.50","1,780.83","1,656.57","6.26B","-3.02%"
"11/01/2009","1,767.43","1,667.06","1,814.25","1,652.44","4.81B","6.02%"
"12/01/2009","1,860.31","1,782.85","1,882.58","1,759.34","4.51B","5.26%"
"01/01/2010","1,741.04","1,882.69","1,897.49","1,734.03","5.36B","-6.41%"
"02/01/2010","1,818.68","1,745.91","1,830.38","1,712.89","5.08B","4.46%"
"03/01/2010","1,958.34","1,826.62","1,976.38","1,826.61","5.42B","7.68%"
"04/01/2010","2,000.63","1,968.44","2,059.42","1,943.97","5.34B","2.16%"
"05/01/2010","1,852.39","2,010.94","2,039.52","1,752.31","6.71B","-7.41%"
"06/01/2010","1,739.14","1,846.60","1,939.77","1,734.90","5.97B","-6.11%"
"07/01/2010","1,864.00","1,741.93","1,900.15","1,700.04","5.64B","7.18%"
"08/01/2010","1,767.43","1,886.61","1,918.78","1,747.32","5.39B","-5.18%"
"09/01/2010","1,998.04","1,791.91","2,029.65","1,791.41","5.17B","13.05%"
"10/01/2010","2,124.45","2,014.47","2,137.33","1,963.68","4.84B","6.33%"
"11/01/2010","2,117.33","2,135.57","2,200.16","2,085.27","4.54B","-0.34%"
"12/01/2010","2,217.86","2,150.64","2,238.92","2,150.64","3.57B","4.75%"
"01/01/2011","2,281.91","2,238.66","2,336.04","2,237.73","4.20B","2.89%"
"02/01/2011","2,350.99","2,298.37","2,403.52","2,284.65","4.23B","3.03%"
"03/01/2011","2,338.99","2,359.78","2,375.67","2,188.92","5.02B","-0.51%"
"04/01/2011","2,404.08","2,352.47","2,415.85","2,254.88","4.52B","2.78%"
"05/01/2011","2,372.54","2,410.24","2,417.83","2,298.72","4.91B","-1.31%"
"06/01/2011","2,325.07","2,368.29","2,373.82","2,180.94","5.19B","-2.00%"
"07/01/2011","2,362.81","2,326.16","2,438.44","2,318.20","4.26B","1.62%"
"08/01/2011","2,241.01","2,391.42","2,396.50","2,034.92","6.93B","-5.15%"
"09/01/2011","2,139.18","2,245.01","2,337.70","2,112.84","5.59B","-4.54%"
"10/01/2011","2,360.08","2,128.02","2,412.52","2,042.90","5.03B","10.33%"
"11/01/2011","2,295.20","2,301.11","2,402.51","2,150.71","4.50B","-2.75%"
"12/01/2011","2,277.83","2,294.27","2,343.10","2,209.57","3.73B","-0.76%"
"01/01/2012","2,467.95","2,323.16","2,481.51","2,307.56","4.05B","8.35%"
"02/01/2012","2,623.10","2,481.62","2,645.20","2,474.29","3.86B","6.29%"
"03/01/2012","2,755.27","2,634.20","2,794.00","2,575.13","4.00B","5.04%"
"04/01/2012","2,723.68","2,752.25","2,795.35","2,628.96","3.82B","-1.15%"
"05/01/2012","2,524.87","2,719.25","2,756.81","2,474.70","4.51B","-7.30%"
"06/01/2012","2,615.72","2,510.82","2,633.21","2,443.92","4.03B","3.60%"
"07/01/2012","2,642.53","2,616.52","2,663.12","2,522.89","3.73B","1.02%"
"08/01/2012","2,772.24","2,660.49","2,802.91","2,606.54","3.63B","4.91%"
"09/01/2012","2,799.19","2,766.93","2,878.38","2,744.29","3.49B","0.97%"
"10/01/2012","2,647.92","2,811.45","2,845.97","2,636.83","3.64B","-5.40%"
"11/01/2012","2,677.88","2,661.05","2,701.91","2,494.38","3.83B","1.13%"
"12/01/2012","2,660.93","2,697.44","2,713.39","2,598.57","3.51B","-0.63%"
"01/01/2013","2,731.53","2,727.67","2,769.31","2,703.75","3.58B","2.65%"
"02/01/2013","2,738.58","2,751.19","2,783.19","2,689.83","3.43B","0.26%"
"03/01/2013","2,818.69","2,725.38","2,820.67","2,713.49","3.20B","2.93%"
"04/01/2013","2,887.44","2,819.78","2,887.87","2,730.97","3.91B","2.44%"
"05/01/2013","2,981.76","2,885.35","3,053.51","2,868.76","3.66B","3.27%"
"06/01/2013","2,909.60","2,984.59","3,007.30","2,825.18","3.86B","-2.42%"
"07/01/2013","3,090.19","2,933.48","3,110.01","2,913.48","3.64B","6.21%"
"08/01/2013","3,073.81","3,113.22","3,149.24","3,053.26","3.03B","-0.53%"
"09/01/2013","3,218.20","3,097.65","3,248.52","3,077.13","3.23B","4.70%"
"10/01/2013","3,377.73","3,220.92","3,408.28","3,117.69","3.89B","4.96%"
"11/01/2013","3,487.82","3,392.32","3,495.97","3,318.39","3.14B","3.26%"
"12/01/2013","3,592.00","3,496.19","3,592.00","3,422.86","3.35B","2.99%"
"01/01/2014","3,521.92","3,575.60","3,634.65","3,461.64","4.05B","-1.95%"
"02/01/2014","3,696.10","3,524.23","3,722.38","3,418.88","3.50B","4.95%"
"03/01/2014","3,595.74","3,657.32","3,738.32","3,543.07","3.79B","-2.72%"
"04/01/2014","3,582.02","3,615.91","3,676.36","3,414.11","4.10B","-0.38%"
"05/01/2014","3,736.82","3,589.66","3,741.57","3,506.35","3.33B","4.32%"
"06/01/2014","3,849.48","3,740.71","3,860.65","3,707.89","3.33B","3.01%"
"07/01/2014","3,892.50","3,864.14","3,997.50","3,837.16","3.46B","1.12%"
"08/01/2014","4,082.56","3,886.10","4,082.97","3,845.20","2.88B","4.88%"
"09/01/2014","4,049.45","4,093.12","4,118.91","4,007.63","3.77B","-0.81%"
"10/01/2014","4,158.21","4,043.33","4,170.87","3,700.22","4.76B","2.69%"
"11/01/2014","4,337.78","4,160.60","4,347.09","4,126.72","2.86B","4.32%"
"12/01/2014","4,236.28","4,323.95","4,332.55","4,089.09","3.63B","-2.34%"
"01/01/2015","4,148.43","4,258.60","4,292.88","4,078.85","3.87B","-2.07%"
"02/01/2015","4,440.67","4,162.19","4,464.31","4,094.73","3.10B","7.04%"
"03/01/2015","4,333.69","4,452.80","4,483.97","4,280.95","3.86B","-2.41%"
"04/01/2015","4,414.25","4,328.17","4,562.33","4,283.91","3.45B","1.86%"
"05/01/2015","4,508.25","4,437.70","4,551.52","4,349.93","3.15B","2.13%"
"06/01/2015","4,396.76","4,530.03","4,561.64","4,377.23","3.54B","-2.47%"
"07/01/2015","4,588.91","4,433.79","4,694.13","4,344.15","3.63B","4.37%"
"08/01/2015","4,274.58","4,595.26","4,634.70","3,787.23","4.42B","-6.85%"
"09/01/2015","4,181.06","4,177.94","4,450.66","4,053.11","4.25B","-2.19%"
"10/01/2015","4,648.83","4,185.28","4,681.23","4,124.55","3.90B","11.19%"
"11/01/2015","4,664.51","4,658.79","4,737.11","4,486.09","3.09B","0.34%"
"12/01/2015","4,593.27","4,685.74","4,739.75","4,478.25","3.60B","-1.53%"
"01/01/2016","4,279.17","4,485.06","4,522.12","3,992.91","4.30B","-6.84%"
"02/01/2016","4,201.12","4,254.41","4,301.63","3,888.78","4.15B","-1.82%"
"03/01/2016","4,483.65","4,238.08","4,518.18","4,225.93","3.59B","6.73%"
"04/01/2016","4,341.30","4,461.77","4,574.38","4,307.10","3.41B","-3.17%"
"05/01/2016","4,523.89","4,350.83","4,526.84","4,282.00","3.38B","4.21%"
"06/01/2016","4,417.70","4,507.18","4,536.55","4,179.73","3.80B","-2.35%"
"07/01/2016","4,730.23","4,411.77","4,743.26","4,375.72","3.04B","7.07%"
"08/01/2016","4,771.06","4,734.44","4,837.67","4,689.55","2.93B","0.86%"
